,Symbol,Date,Time,Norm_Open,Norm_High,Norm_Low,Norm_Close,Norm_Vwap,Norm_Volume,Day_Ret
0,600276,20160601,2016-06-01 09:30:00.000,-1.3053629802500215,-1.317639125966161,-1.294121647118612,-1.3067593791878096,-1.3065737280000687,-0.9735641075691998,-0.004365858982754878
1,600276,20160601,2016-06-01 10:30:00.000,-1.2968215843044804,-1.3055285474446279,-1.309490001434476,-1.3018781547491474,-1.3100447788015213,-0.25799844899670893,-0.008280671170189602
2,600276,20160601,2016-06-01 11:30:00.000,-1.301702381987647,-1.3091617210010877,-1.2978100521544196,-1.3067593791878096,-1.303059578907266,-0.6954751074086003,-0.005457323728443542
3,600276,20160601,2016-06-01 14:00:00.000,-1.3059730799604174,-1.3152170102618546,-1.3076457989165722,-1.3189624402844655,-1.3121940597287471,-0.6697999668710617,-0.0015347511510633849
4,600276,20160601,2016-06-01 15:00:00.000,-1.3175649744579374,-1.3200612416704678,-1.309490001434476,-1.3122507566813049,-1.3141792323523662,-0.6404987727754766,-0.003718285214348249
5,600276,20160602,2016-06-02 09:30:00.000,-1.3175649744579374,-1.3297497044876947,-1.3064163305713035,-1.3189624402844655,-1.3187791642052882,-0.9734082153268073,0.003946502959877307
6,600276,20160602,2016-06-02 10:30:00.000,-1.3175649744579374,-1.318244654892238,-1.313793140642918,-1.3250639708327936,-1.3187552674369862,-0.6942828435387836,0.005713030103274175
7,600276,20160602,2016-06-02 11:30:00.000,-1.3230558718514993,-1.3242999441530043,-1.3131784064702834,-1.3220132055586293,-1.32134812865014,-0.7849675434298188,0.015144863915715456
8,600276,20160602,2016-06-02 14:00:00.000,-1.3212255727203124,-1.3261165309312346,-1.3119489381250142,-1.3232335116682952,-1.320881520405213,-0.7578878137883249,0.026789635485287677
9,600276,20160602,2016-06-02 15:00:00.000,-1.3181750741683331,-1.328538646635541,-1.3156373431608215,-1.3226233586134624,-1.324520800962836,-0.6447942276223559,0.025466520307354745
10,600276,20160603,2016-06-03 09:30:00.000,-1.3065831796708132,-1.3188501838183146,-1.2953511154638815,-1.3079796852974752,-1.3077945257301848,-0.940024203402966,0.025333042148940832
