,Date,stock,zopen,zhigh,zlow,zclose,zadj_close,zd5,zd10,zd15,zd20,zd25,zd30,ret
0,2012-10-15,C,-2.8278741392243143,-0.9808629944562873,-3.753004957974458,3.4832125859045187,3.483853003685074,-2.0514299809203638,-1.8222827618183615,-1.9824578295339597,-1.732434628703489,-1.5584400819480713,-1.6978385568723764,0.016093835242771526
1,2012-10-16,C,-1.8496461629537513,-0.6264842158143226,-2.147762124388479,0.9895618016149879,0.9888454866714887,-2.1117401953725987,-1.9893795904741223,-2.1921505922021525,-2.000819292320257,-1.7870034846413463,-1.8625191005502493,0.03167785234899334
2,2012-10-17,C,-1.6200534513893512,-0.9555218993460742,-1.6274583461616907,1.9893277648359493,1.9891829010841358,-2.834723548237677,-2.6694127893600483,-2.7430226530731585,-2.5934021408217385,-2.3156348538705327,-2.295936210822026,-0.0002602654176424579
3,2012-10-18,C,-0.37103699639240306,-0.17000240255952262,-0.1474646503428799,-0.05960755490757475,-0.06090807737128756,-1.9430357889102143,-2.31381137873423,-2.4484198711652296,-2.430626026804428,-2.213459293589917,-2.1558377006007827,-0.03279536870355915
4,2012-10-19,C,1.954397949540693,1.8109969737382345,0.673088642426001,-2.1468414595823577,-2.1492813542369147,0.7136354199197595,-0.8436843688531072,-1.262013598981125,-1.5087230993878737,-1.4397703648103737,-1.4126885347796891,0.015069994617868954
5,2012-10-22,C,-1.1023205594366479,-1.016572566718368,-0.8932752585894481,0.9238790574570772,0.9231402109797828,0.1676337299842853,-1.1012029503333813,-1.426119314656197,-1.7259394934478611,-1.6730611847105346,-1.5953536764433303,-0.022004294220458798
6,2012-10-23,C,0.241068462780115,0.22902096304605324,0.8705899638252756,-1.4545585327060324,-1.4566208339826643,1.364371834031378,-0.02381316424267037,-0.5771363895314854,-1.0370789706257653,-1.1122793392090147,-1.0727081835438779,0.011114123369859508
7,2012-10-24,C,-0.09423298968745626,0.18191849951976757,0.2439411679824034,0.6700969034920841,0.6692205765902132,0.3590276528350361,-0.22271715541322346,-0.7278288976325115,-1.1438202179439159,-1.2775557655023497,-1.2128778766329575,0.002949088550913803
8,2012-10-25,C,0.7025384972760744,0.2749067368236131,-0.5136769940127489,0.14628305980495998,0.14508926432736113,-0.12653393535363144,-0.14062594522632874,-0.6820720065054948,-1.061934536189105,-1.2521482949006997,-1.2153495295592498,-0.021652018176957943
9,2012-10-26,C,1.2378180202490883,1.2290946702407863,0.7668348723288524,-1.4319588656529405,-1.4339980171689766,0.9778327565602695,0.8999542903875902,0.07467237958389704,-0.371542350521116,-0.6899248722015225,-0.7379086637357253,0.021584727955449745
10,2012-10-31,C,-0.8908372617611938,-0.8220131538663713,-0.9776456591267425,1.3418206322114974,1.3413004647146567,-0.372205107824606,0.14516122007250018,-0.42562196779046896,-0.7510520485817408,-1.069396267166977,-1.1068621443443956,0.014977320539644845
11,2012-11-01,C,-0.8120235615330977,-0.9535386438386203,-0.7829980157094933,0.9179337104743438,0.9346140539736391,-0.9110516497288806,-0.3614979594197353,-0.6949450561699951,-0.9686508513521324,-1.2771013363325332,-1.3332991450404443,-0.00922274020493441
12,2012-11-02,C,1.1172927507730495,0.6852535524056472,0.8762873797808677,-0.6345797958571274,-0.63619094801148,-0.28322673594679554,-0.09145737159364761,-0.2863071737345406,-0.6123646536041238,-0.9454481376966553,-1.0834944517111469,-0.007446755715252884
13,2012-11-05,C,-0.027647471209351727,-0.2392644944047807,-0.053807557404060416,-0.5206445484886518,-0.5222024243720704,0.1253719647473132,0.08351131025251027,0.03710889531403524,-0.33896531905939353,-0.6686268509225637,-0.8654886601732209,0.030814603429796472
14,2012-11-06,C,-2.177708394732832,-1.0184441994396616,-2.171067051013558,1.9339475068884817,1.9337747380845431,-1.0461679352667461,-0.934280690814868,-0.6733003327984554,-0.9802476890076759,-1.2041737323516701,-1.3843984129656137,-0.06290621099801907
15,2012-11-07,C,3.6211296644294233,4.713700042983609,1.0007865846729649,-4.078551046701358,-4.082077120845085,2.3525452848656587,1.402171266552985,1.2816568274778337,0.7458337503911096,0.36304288874520485,-0.0035628075453788,-0.0013869348512325352
16,2012-11-08,C,1.0742453191215235,1.0669341822813687,1.0005483587461461,-0.13188710541288629,-0.1331886244648032,1.806863179116171,1.363390781304714,1.2557093558161734,0.8340875708635914,0.46732656189952365,0.08809107954038105,-0.0019444444444444153
17,2012-11-09,C,-0.7895040230652788,0.8695968687794642,-0.6519659016766719,-0.16765317982510392,-0.16901636409552548,1.3833001430275351,1.2952682536909392,1.1767859762513808,0.9154294084408919,0.5625297467236241,0.19745689912297426,0.01363757305872526
18,2012-11-12,C,-0.6650351361132415,-0.05194957982610859,-0.3897235961209161,0.8319845022820822,0.8311774233338297,0.2962917284501985,0.658046970588558,0.6426268022375177,0.5858815505546537,0.2796406609344708,-0.02284546809359399,-0.00713888012843944
19,2012-11-13,C,-0.3266200243307909,0.9237539060072192,0.38567714853723206,-0.5008933167937204,-0.5024191858416964,-0.026592955549541962,0.892963037726819,0.8096153281985805,0.8283074686881307,0.4851895772655794,0.1972646304338621,-0.03152654867256621
20,2012-11-14,C,3.0181442750900653,3.8509766208833596,0.7132154259257973,-2.0654424806288985,-2.06781398876368,1.5208002635470823,1.9121613373061919,1.6666107629718299,1.6409391712638948,1.2651635528732768,0.9400560453075077,0.005425442604226172
21,2012-11-15,C,-0.030303199538618965,0.9101298327219816,0.46982243294948317,0.30514931864636846,0.3040441661639566,0.9385115598616466,1.3955249558658722,1.3980217557417283,1.4164924144429951,1.1492319259346129,0.8601757439296087,-0.0065322069449649245
22,2012-11-16,C,0.4189392565827309,0.026210657917054812,-1.691472464910774,-0.46197323633548143,-0.4634913480139625,1.0108081765245915,1.3690249128948582,1.4726231199123467,1.468379486388316,1.305769296393985,1.024116313997243,0.0320182389937107
23,2012-11-19,C,-0.8315600990145084,-0.04256129002762697,-0.1980127010176937,2.0111646878451994,2.0110211094108075,-0.9249831160904837,0.005952902526541123,0.41397380599913813,0.5325454783952205,0.5585711870481627,0.3572971663525028,-0.002770027854295143
24,2012-11-20,C,-0.32814592848770663,0.19512319248547763,0.14170956321495498,-0.2206170714419276,-0.2219883785447728,-0.8179297497172878,-0.15126633968030231,0.4660607079846084,0.5645360662698617,0.6575003385562989,0.441662790496645,-0.006388888888888777
25,2012-11-21,C,0.757118255652108,-0.032689824138579925,0.515405159428699,-0.4527789115729194,-0.45429912669543404,-0.20613929089959562,0.06443295601002359,0.5726799827223717,0.6645526431652811,0.7883309173489963,0.6006909336993365,0.00726863293262503
26,2012-11-23,C,-0.14408747627207288,-0.8780579923973668,0.45149219332438806,0.42339604165179534,0.42238499077350666,-0.359136632034855,-0.20977360336024434,0.24193047546336535,0.4413019280617124,0.5832782240512673,0.47179517361706724,-0.012767111095395745
27,2012-11-26,C,0.621678593570674,-0.1962987051791302,0.4421703855031838,-0.8619628481960316,-0.8637001651756613,0.5798967024108347,0.24489926625893857,0.5212457174702211,0.7201421304918989,0.8167772270054925,0.7608361084051031,-0.014900168681473258
28,2012-11-27,C,1.17407607394581,1.5744792907709804,1.1017196649937122,-0.9988055093414148,-1.0006118708955885,1.1153037425403207,0.6776348987790082,0.8555616372532514,1.0363943838756213,1.0911007941357473,1.0834366752999054,0.0008561358203158509
29,2012-11-28,C,-0.691280793056898,-1.0781479782221477,-2.4599327261255617,0.012013257069258296,0.010741102207689649,0.756480865980011,0.5247242792659603,0.6324831455240125,0.9566715498486262,1.0147548695974982,1.0710633751533714,0.0039919874536642475
30,2012-11-29,C,0.41631180145953195,0.3615997491999299,0.5049537946725635,0.21318845518174692,0.21206939501452246,0.33773486185322454,0.39078309160502545,0.4611515937684062,0.7689947618234412,0.8517306038400576,0.9534088231105166,-0.018176626474769364
31,2012-11-30,C,0.9264677163001953,1.2269259635390037,-0.07979468290589196,-1.2090010551586554,-1.21092225297334,0.9280509991959854,1.0373066095288785,0.9467844573211018,1.1369539671324695,1.2357637813963553,1.3085703147375136,-0.01012435637836262
32,2012-12-03,C,1.8064555403094233,1.6036001793611498,0.8470482036888956,-0.6924214393781148,-0.6940722907916277,1.0728931757922437,1.3550385671494591,1.1651082321242456,1.2855673269991708,1.4024464736641051,1.4514682069247367,0.0020455873160258875
33,2012-12-04,C,-0.3694750152745849,-0.3381206458404216,0.3788412353772599,0.08832048339015272,0.0871244910167058,0.697945312295533,1.0709459553186091,0.9750109176251974,1.11447331183616,1.2671831887423448,1.319752068127505,0.06328369602555584
34,2012-12-05,C,-2.684580840231163,0.907001961508897,-3.44082823913628,4.016946608638051,4.01789899365988,-2.3562408123197045,-1.2283722024888162,-0.8696006460118584,-0.5714507490873107,-0.19658204212943303,-0.03396183233702228,0.015359325709251914
35,2012-12-06,C,-0.9446231211431115,-1.0799711692858829,-1.4000278266464783,0.9424405987653687,0.9417008437772857,-2.630652318644654,-1.6604786143813326,-1.205298130671646,-0.9219342712189784,-0.5547244229929467,-0.36738193353440707,0.016747676931388344
36,2012-12-07,C,-0.46703626482277644,-0.7598033345346568,0.08804665427362222,1.0315078968456606,1.0308047519838188,-2.5957416433315967,-2.1007814716456403,-1.5536923214462042,-1.2781622114475695,-0.9366009831173996,-0.6961491382345477,-0.011955366948867452
37,2012-12-10,C,0.3727758394260184,-0.10637694435295332,0.6402436752073859,-0.8098867908475815,-0.8115771722328511,-0.9964015648214458,-1.4943427338557136,-1.0854839674971237,-0.9347600954453902,-0.6766817171695324,-0.4499825922013584,-0.005108873490424104
38,2012-12-11,C,0.9785595817502329,0.7144041668664112,0.6040930509017872,-0.37066171296738276,-0.3721221353742422,0.1479274167911705,-1.1012484839717789,-0.8861884343452513,-0.7855647257925797,-0.5687543669846074,-0.3511256816664279,0.014324297297297228
39,2012-12-12,C,-0.8212891634363462,-0.17982019836276084,-0.21170875081413779,0.8760401212642366,0.8752699791650181,-0.34276288527031645,-1.375606880507969,-1.2189416332945036,-1.094017252025109,-0.9127955152763791,-0.627725323508034,-0.006394830972417553
40,2012-12-13,C,0.4827943251471841,0.3764809533106089,0.9401567472116724,-0.4531601157786254,-0.45465803901145835,0.11287437885924027,-0.9229818163825187,-0.9492006928610174,-0.854221282188422,-0.7377791233571912,-0.4970489668947953,0.008313140029146293
41,2012-12-14,C,-0.6216239026088509,-0.8557367177758789,-0.37358736417810645,0.49040460794936414,0.4894041647252162,-0.3791140898151712,-0.9218920434295037,-1.1065592548659093,-0.978556048157969,-0.8837201062660528,-0.6743459638915879,0.04122351283103787
42,2012-12-17,C,-2.900645205000984,-0.9584133206457517,-3.2186364675097323,2.6017132865767696,2.6018834705447684,-2.081022339533862,-1.920564157995412,-2.0770056537725754,-1.830214253227235,-1.6930658274506205,-1.4587757881127144,0.007918186057819465
43,2012-12-18,C,-0.507644985178857,0.35577873678959976,-0.9588960602707673,0.4650670114310784,0.46408027643339206,-1.7962476100449274,-1.7031632359883497,-2.0717551717862452,-1.9089327855124136,-1.7904751120597833,-1.575276176955595,-0.0002533705081949611
44,2012-12-19,C,0.5202110491661449,0.9069230131352606,0.7334232102787218,-0.05916522378472544,-0.060455717509850924,-1.2163164294798061,-1.402422152307333,-1.8396369756921567,-1.7886339043197337,-1.7069729235809517,-1.5526296927767849,0.0182508740620817
45,2012-12-20,C,-1.7345782515359274,-1.0825188267984451,-1.5061838569191361,1.1279429377619483,1.1273069356622656,-1.4019306644413039,-1.763607372813774,-2.099530972295043,-2.0796144811176007,-1.9734771135724105,-1.8317983584005961,-0.01692795702902461
46,2012-12-21,C,-1.2198254183003958,-0.6234955209639129,-1.9281253989315983,-1.1288948025371035,-1.1308046977272486,0.13003604450759887,-0.9529832180249069,-1.361512048592015,-1.5532531442721034,-1.5052976751698655,-1.4354241048931202,-0.0027855405021249835
47,2012-12-24,C,-0.06736066464907015,-0.5914826529532341,0.48140013744127724,-0.22161225883128927,-0.2229724559754,0.36045372296786604,-0.6346106408502749,-1.0151948938518713,-1.358633054172123,-1.339927405029583,-1.3178977103908696,0.0043168612413189145
